location,target,type,bin,value
US National,1 wk ahead,point,,5.352083045034392
US National,1 wk ahead,bin,0.0,1e-05
US National,1 wk ahead,bin,0.1,1e-05
US National,1 wk ahead,bin,0.2,1e-05
US National,1 wk ahead,bin,0.3,1e-05
US National,1 wk ahead,bin,0.4,1e-05
US National,1 wk ahead,bin,0.5,1e-05
US National,1 wk ahead,bin,0.6,1e-05
US National,1 wk ahead,bin,0.7,1e-05
US National,1 wk ahead,bin,0.8,1e-05
US National,1 wk ahead,bin,0.9,1e-05
US National,1 wk ahead,bin,1.0,1e-05
US National,1 wk ahead,bin,1.1,1e-05
US National,1 wk ahead,bin,1.2,1e-05
US National,1 wk ahead,bin,1.3,1e-05
US National,1 wk ahead,bin,1.4,1e-05
US National,1 wk ahead,bin,1.5,1e-05
US National,1 wk ahead,bin,1.6,1e-05
US National,1 wk ahead,bin,1.7,1e-05
US National,1 wk ahead,bin,1.8,1e-05
US National,1 wk ahead,bin,1.9,1e-05
US National,1 wk ahead,bin,2.0,1.000000000000001e-05
US National,1 wk ahead,bin,2.1,1.0000000000000114e-05
US National,1 wk ahead,bin,2.2,1.00000000000014e-05
US National,1 wk ahead,bin,2.3,1.0000000000015896e-05
US National,1 wk ahead,bin,2.4,1.0000000000166982e-05
US National,1 wk ahead,bin,2.5,1.000000000162199e-05
US National,1 wk ahead,bin,2.6,1.0000000014568153e-05
US National,1 wk ahead,bin,2.7,1.0000000120986782e-05
US National,1 wk ahead,bin,2.8,1.0000000929069573e-05
US National,1 wk ahead,bin,2.9,1.0000006596831819e-05
US National,1 wk ahead,bin,3.0,1.000004331112343e-05
US National,1 wk ahead,bin,3.1,1.0000262930124636e-05
US National,1 wk ahead,bin,3.2,1.0001475903991919e-05
US National,1 wk ahead,bin,3.3,1.0007660422605694e-05
US National,1 wk ahead,bin,3.4,1.0036764123190901e-05
US National,1 wk ahead,bin,3.5,1.01631445453143e-05
US National,1 wk ahead,bin,3.6,1.0669418583888053e-05
US National,1 wk ahead,bin,3.7,1.2539801838910244e-05
US National,1 wk ahead,bin,3.8,1.891002173713252e-05
US National,1 wk ahead,bin,3.9,3.890244314188602e-05
US National,1 wk ahead,bin,4.0,9.668964193382489e-05
US National,1 wk ahead,bin,4.1,0.00025042339442025606
US National,1 wk ahead,bin,4.2,0.0006265426169293308
US National,1 wk ahead,bin,4.3,0.0014719291984859508
US National,1 wk ahead,bin,4.4,0.003215283445750932
US National,1 wk ahead,bin,4.5,0.00650805529499915
US National,1 wk ahead,bin,4.6,0.01219083965795778
US National,1 wk ahead,bin,4.7,0.021122901029540876
US National,1 wk ahead,bin,4.8,0.033847281082560764
US National,1 wk ahead,bin,4.9,0.050154103116088186
US National,1 wk ahead,bin,5.0,0.06872018824911984
US National,1 wk ahead,bin,5.1,0.087066112668025
US National,1 wk ahead,bin,5.2,0.1019992186305644
US National,1 wk ahead,bin,5.3,0.11049062441923956
