location,target,type,bin,value
US National,1 wk ahead,point,,4.470834732055664
US National,1 wk ahead,bin,0.0,0.0010000000000000009
US National,1 wk ahead,bin,0.1,0.0010000000000000044
US National,1 wk ahead,bin,0.2,0.0010000000000000228
US National,1 wk ahead,bin,0.3,0.0010000000000001188
US National,1 wk ahead,bin,0.4,0.001000000000000601
US National,1 wk ahead,bin,0.5,0.0010000000000029274
US National,1 wk ahead,bin,0.6,0.0010000000000137
US National,1 wk ahead,bin,0.7,0.0010000000000616137
US National,1 wk ahead,bin,0.8,0.001000000000266267
US National,1 wk ahead,bin,0.9,0.001000000001105702
US National,1 wk ahead,bin,1.0,0.0010000000044120445
US National,1 wk ahead,bin,1.1,0.0010000000169169767
US National,1 wk ahead,bin,1.2,0.001000000062328536
US National,1 wk ahead,bin,1.3,0.001000000220664598
US National,1 wk ahead,bin,1.4,0.0010000007506892866
US National,1 wk ahead,bin,1.5,0.001000002453973351
US National,1 wk ahead,bin,1.6,0.0010000077083563142
US National,1 wk ahead,bin,1.7,0.0010000232667795406
US National,1 wk ahead,bin,1.8,0.0010000674828715497
US National,1 wk ahead,bin,1.9,0.0010001880762020147
US National,1 wk ahead,bin,2.0,0.0010005036830869345
US National,1 wk ahead,bin,2.1,0.0010012961770615905
US National,1 wk ahead,bin,2.2,0.001003205198571008
US National,1 wk ahead,bin,2.3,0.0010076160430691993
US National,1 wk ahead,bin,2.4,0.0010173895311561517
US National,1 wk ahead,bin,2.5,0.0010381531646361834
US National,1 wk ahead,bin,2.6,0.00108043732978814
US National,1 wk ahead,bin,2.7,0.001162955594203204
US National,1 wk ahead,bin,2.8,0.0013172236885440585
US National,1 wk ahead,bin,2.9,0.0015933989906924755
US National,1 wk ahead,bin,3.0,0.002066628031080492
US National,1 wk ahead,bin,3.1,0.0028423167947962155
US National,1 wk ahead,bin,3.2,0.0040577423060770895
US National,1 wk ahead,bin,3.3,0.0058766638470834215
US National,1 wk ahead,bin,3.4,0.008473606576633059
US National,1 wk ahead,bin,3.5,0.01200584050779634
US National,1 wk ahead,bin,3.6,0.016574060490901533
US National,1 wk ahead,bin,3.7,0.02217708786875992
US National,1 wk ahead,bin,3.8,0.028670463232311087
US National,1 wk ahead,bin,3.9,0.03574181410515101
