location,target,type,bin,value
US National,1 wk ahead,point,,5.570706367492676
US National,1 wk ahead,bin,0.0,0.0010000000064480194
US National,1 wk ahead,bin,0.1,0.0010000000144302944
US National,1 wk ahead,bin,0.2,0.001000000031829439
US National,1 wk ahead,bin,0.3,0.001000000069187788
US National,1 wk ahead,bin,0.4,0.0010000001482010962
US National,1 wk ahead,bin,0.5,0.0010000003128123518
US National,1 wk ahead,bin,0.6,0.0010000006506118994
US National,1 wk ahead,bin,0.7,0.001000001333409525
US National,1 wk ahead,bin,0.8,0.0010000026928214192
US National,1 wk ahead,bin,0.9,0.0010000053586272334
US National,1 wk ahead,bin,1.0,0.0010000105075466126
US National,1 wk ahead,bin,1.1,0.0010000203025595348
US National,1 wk ahead,bin,1.2,0.0010000386546643886
US National,1 wk ahead,bin,1.3,0.0010000725194749473
US National,1 wk ahead,bin,1.4,0.0010001340630267175
US National,1 wk ahead,bin,1.5,0.0010002442108836816
US National,1 wk ahead,bin,1.6,0.001000438351644016
US National,1 wk ahead,bin,1.7,0.0010007753216278003
US National,1 wk ahead,bin,1.8,0.0010013512720641702
US National,1 wk ahead,bin,1.9,0.0010023206270166711
US National,1 wk ahead,bin,2.0,0.0010039270781290537
US National,1 wk ahead,bin,2.1,0.0010065484029753839
US National,1 wk ahead,bin,2.2,0.0010107597682246928
US National,1 wk ahead,bin,2.3,0.0010174209608492248
US National,1 wk ahead,bin,2.4,0.0010277934825620966
US National,1 wk ahead,bin,2.5,0.0010436933668442954
US National,1 wk ahead,bin,2.6,0.0010676845801740006
US National,1 wk ahead,bin,2.7,0.0011033155419258578
US National,1 wk ahead,bin,2.8,0.0011553972294972357
US National,1 wk ahead,bin,2.9,0.001230315191642122
US National,1 wk ahead,bin,3.0,0.0013363594259928981
US National,1 wk ahead,bin,3.1,0.0014840456581121414
US National,1 wk ahead,bin,3.2,0.0016863897157480172
US National,1 wk ahead,bin,3.3,0.00195908461314169
US National,1 wk ahead,bin,3.4,0.0023205194426177966
US National,1 wk ahead,bin,3.5,0.002791572553769324
US National,1 wk ahead,bin,3.6,0.0033951114620024273
US National,1 wk ahead,bin,3.7,0.0041551411207748695
US National,1 wk ahead,bin,3.8,0.005095562736146749
US National,1 wk ahead,bin,3.9,0.006238538189588991
US National,1 wk ahead,bin,4.0,0.007602499636721328
US National,1 wk ahead,bin,4.1,0.009199897063428468
US National,1 wk ahead,bin,4.2,0.011034833258162959
US National,1 wk ahead,bin,4.3,0.013100788441631584
US National,1 wk ahead,bin,4.4,0.015378676931732086
US National,1 wk ahead,bin,4.5,0.01783549675477224
US National,1 wk ahead,bin,4.6,0.020423822407322784
US National,1 wk ahead,bin,4.7,0.023082346351447278
US National,1 wk ahead,bin,4.8,0.02573759601445409
US National,1 wk ahead,bin,4.9,0.028306845089396373
US National,1 wk ahead,bin,5.0,0.03070211120044005
US National,1 wk ahead,bin,5.1,0.032835001385975414
US National,1 wk ahead,bin,5.2,0.03462204984394834
US National,1 wk ahead,bin,5.3,0.035990106467976804
US National,1 wk ahead,bin,5.4,0.036881294472235655
US National,1 wk ahead,bin,5.5,0.03725706987382943
US National,1 wk ahead,bin,5.6,0.03710098629806256
US National,1 wk ahead,bin,5.7,0.03641988880813767
US National,1 wk ahead,bin,5.8,0.03524341602504118
US National,1 wk ahead,bin,5.9,0.03362186099033837
US National,1 wk ahead,bin,6.0,0.031622605870063485
US National,1 wk ahead,bin,6.1,0.029325482569109298
US National,1 wk ahead,bin,6.2,0.0268175038207339
US National,1 wk ahead,bin,6.3,0.024187447365848897
US National,1 wk ahead,bin,6.4,0.021520757573050595
US National,1 wk ahead,bin,6.5,0.018895160356806107
US National,1 wk ahead,bin,6.6,0.01637728110285575
US National,1 wk ahead,bin,6.7,0.01402042814859323
US National,1 wk ahead,bin,6.8,0.011863574020830669
US National,1 wk ahead,bin,6.9,0.009931449336749673
US National,1 wk ahead,bin,7.0,0.008235572452868484
US National,1 wk ahead,bin,7.1,0.006775978902050068
US National,1 wk ahead,bin,7.2,0.005543390243872677
US National,1 wk ahead,bin,7.3,0.004521569165695064
US National,1 wk ahead,bin,7.4,0.003689639905948818
US National,1 wk ahead,bin,7.5,0.003024201719177298
US National,1 wk ahead,bin,7.6,0.0025011191600459452
